Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.950644	0.00680695	132.765	139.658
1/delta	0.00111762	9.40813e-09	132.765	118793
nu	0.0359459	3.05136e-07	4234.52	117803
GA60748	2.96598e-06	1.79559e-12	4.89927	1.65182e+06
GA81665	1.1939e-06	7.2247e-13	1.97295	1.65253e+06
GA83348	1.19314e-06	7.2208e-13	1.9715	1.65236e+06
GA83469	2.37177e-06	1.43606e-12	3.91716	1.65158e+06
GA83571	6.05181e-07	3.66244e-13	1	1.6524e+06
GA83706	1.78237e-06	1.07861e-12	2.9453	1.65246e+06
GA83882	1.19402e-06	7.22541e-13	1.97315	1.65253e+06
GA87003	1.19397e-06	7.22512e-13	1.97307	1.65253e+06
GA87424	1.19385e-06	7.22441e-13	1.97287	1.65253e+06
GA87639	1.19386e-06	7.22501e-13	1.97273	1.6524e+06
GA91113	1.19392e-06	7.22483e-13	1.97299	1.65253e+06
GA91241	1.78268e-06	1.07884e-12	2.94571	1.6524e+06
GA91506	1.19363e-06	7.22337e-13	1.97243	1.65246e+06
GA95071	2.27584e-06	1.38753e-12	3.73284	1.64021e+06
NODE_27	4.87012e-05	3.14143e-11	75.5009	1.55029e+06
NODE_31	6.05925e-07	3.66721e-13	1.00116	1.65228e+06
NODE_32	6.05158e-07	3.66215e-13	1	1.65247e+06
NODE_33	6.05181e-07	3.66243e-13	1	1.6524e+06
NODE_35	6.05168e-07	3.66228e-13	1	1.65244e+06
NODE_37	6.05155e-07	3.66212e-13	1	1.65247e+06
NODE_38	1.19397e-06	7.22512e-13	1.97307	1.65253e+06
NODE_39	6.05178e-07	3.6624e-13	1	1.65241e+06
NODE_41	6.05159e-07	3.66217e-13	1	1.65246e+06
NODE_42	1.78305e-06	1.07899e-12	2.94654	1.65252e+06
NODE_48	6.05155e-07	3.66212e-13	1	1.65247e+06
NODE_49	4.13564e-06	2.50263e-12	6.83421	1.65252e+06
