R/theta	delta	nu
0.821855	792.704	0.0350387
1.07065	1177.57	0.0364169
1.12176	936.854	0.0354329
0.860419	998.064	0.0356322
1.05991	1036.1	0.0355357
1.00508	821.461	0.0354584
0.875915	923.28	0.0355907
1.26215	814.919	0.0347995
0.915796	875.743	0.0355788
1.13374	1011.09	0.0360942
1.07229	944.383	0.0361587
0.869433	932.306	0.0360772
0.958035	874.447	0.036417
1.09146	789.291	0.0359842
0.866556	834.394	0.0353566
0.850745	880.45	0.0362349
0.847792	879.176	0.0359175
0.743925	925.742	0.0347831
1.04778	871.564	0.0350014
0.894397	824.646	0.0366339
0.819778	847.037	0.0367393
0.962454	805.478	0.03604
1.17573	1093.97	0.0372934
0.983645	917.412	0.0362621
0.977194	875.744	0.0360759
0.780923	999.501	0.0348105
0.923588	834.74	0.0361605
0.802658	900.667	0.0355645
0.888429	1035.22	0.0372885
0.996799	940.244	0.0354902
0.963757	870.642	0.0352264
0.762665	809.512	0.0358313
0.882469	1017.8	0.0362837
0.922325	1016.84	0.0360621
0.8378	739.798	0.0370004
0.889126	883.68	0.035488
1.11187	942.04	0.0354505
0.739419	915.798	0.0358131
1.21939	1006.6	0.0359752
1.00808	873.752	0.0361816
0.829412	1002.63	0.0362115
0.91645	1022.51	0.0347174
1.00576	813.211	0.0354375
0.961854	917.266	0.0364472
1.03712	844.783	0.0358748
0.88104	1024.84	0.0342503
0.996829	919.665	0.0372087
0.738553	778.119	0.0360856
1.00221	791.576	0.0353334
1.00804	901.963	0.0361999
0.816578	863.982	0.0362628
0.921882	921.96	0.0359907
0.980581	745.312	0.0361486
0.855765	910.996	0.0358922
0.786785	980.045	0.0359931
0.914618	1025.56	0.0344367
0.947814	881.771	0.035766
0.716936	995.538	0.0362357
1.09139	1033.76	0.0346828
1.02688	1093.3	0.0349643
0.911222	951.362	0.0368537
0.716717	855.831	0.0357324
0.898468	840.983	0.0345981
1.02204	874.271	0.0358683
0.812448	894.166	0.0346313
0.978184	1134.15	0.0363066
0.983752	855.604	0.0362548
1.07139	1002.91	0.0353435
1.06292	858.101	0.0362237
1.0365	1127.08	0.0366581
1.01634	923.575	0.0349511
0.801125	895.313	0.0365143
0.926056	960.759	0.0356864
0.966401	803.579	0.0367926
0.888598	1071.42	0.0354977
0.772082	988.651	0.0351324
0.877667	1000.04	0.034751
1.00431	903.066	0.0360524
1.18081	862.027	0.035888
1.16469	911.076	0.0368689
1.05447	992.93	0.0354074
1.13805	860.108	0.035406
1.02997	971.117	0.0363678
1.18243	912.84	0.0360929
0.835779	862.086	0.0364321
1.09274	1009.07	0.0357843
0.910333	954.397	0.0362628
0.877499	768.564	0.036735
0.691571	890.176	0.0357022
1.16013	952.238	0.0360946
0.794073	978.867	0.0353827
0.778083	841.736	0.0359075
1.03172	827.912	0.0354388
0.950257	906.821	0.0370002
0.853196	915.103	0.0363521
0.94663	882.773	0.0351397
1.03378	979.912	0.0353912
1.00095	1062.1	0.0349937
0.833287	1038.33	0.0358831
1.05977	967.816	0.0355099
