g01238	1	1
g01130	1	2
g00880	1	3
g00789	1	4
g00370	1	5
g00768	1	6
g00408	1	7
g00842	1	8
g01342	1	9
g00208	1	10
g01169	1	11
g00818	1	12
g00341	1	13
g00532	1	14
g00477	1	15
g00803	1	16
g00195	1	17
g00924	1	18
g00043	1	19
g01409	1	20
g00758	1	21
g00810	1	22
g01320	1	23
g00779	1	24
g00002	1	25
g01187	1	26
g00793	1	27
g00782	1	28
g01417	1	29
g00762	1	30
g01220	1	31
g00481	1	32
g01269	1	33
g00777	1	34
g01145	1	35
g00555	1	36
g00353	1	37
g00757	1	38
g00787	1	39
g00319	1	40
g00639	1	41
g00665	1	42
g00856	1	43
g00158	1	44
g00913	1	45
g00746	1	46
g00626	1	47
g00759	1	48
g00520	1	49
g00427	1	50
g01256	1	51
g00772	1	52
g00069	1	53
g00540	1	54
g00545	1	55
g00959	1	56
g00176	1	57
g00218	1	58
g00981	1	59
g01135	1	60
g01315	1	61
g00703	1	62
g00802	1	63
g00367	1	64
g00903	1	65
g00689	1	66
g00831	1	67
g01046	1	68
g01157	1	69
g00676	1	70
g01057	1	71
g00671	1	72
g01219	1	73
g00364	1	74
g01007	1	75
g00098	1	76
g01237	1	77
g00154	1	78
g00935	1	79
g00389	1	80
g00372	1	81
g01345	1	82
g01431	1	83
g00455	1	84
g01045	1	85
g01025	1	86
g00357	1	87
g00700	1	88
g00330	1	89
g00135	1	90
g01019	1	91
g00365	1	92
g00603	1	93
g01306	1	94
g00902	1	95
g00426	1	96
g00077	1	97
g00295	1	98
g01359	1	99
g00012	1	100
g00967	1	101
g00167	1	102
g00517	1	103
g00106	1	104
g01376	1	105
g00647	1	106
g00859	1	107
g00355	1	108
g00034	1	109
g00742	1	110
g00212	1	111
g00492	1	112
g00866	1	113
g01108	1	114
g01242	1	115
g00951	1	116
g00274	1	117
g00509	1	118
g00136	1	119
g00111	1	120
g01251	1	121
g01331	1	122
g01066	1	123
g00103	1	124
g00621	1	125
g01036	1	126
g01317	1	127
g00667	1	128
g00656	1	129
g01323	1	130
g00248	1	131
g00107	1	132
g00283	1	133
g01120	1	134
g00905	1	135
g00649	1	136
g00387	1	137
g00190	1	138
g00160	1	139
g00425	1	140
g00066	1	141
g00876	1	142
g01170	1	143
g00300	1	144
g01089	1	145
g00727	1	146
g00374	1	147
g00180	1	148
g01016	1	149
g00108	1	150
g01091	1	151
g01441	1	152
g00388	1	153
g00005	1	154
g00911	1	155
g00524	1	156
g00091	1	157
g01569	1	158
g01479	1	159
g01486	1	160
g00223	1	161
g01151	1	162
g00732	1	163
g00252	1	164
g00456	1	165
g00775	1	166
g01444	1	167
g01119	1	168
g00577	1	169
g01118	1	170
g00638	1	171
g00391	1	172
g00309	1	173
g00516	1	174
g00596	1	175
g00765	1	176
g00298	1	177
g01338	1	178
g01117	1	179
g01028	1	180
g00038	1	181
g01261	1	182
g00446	1	183
g00590	1	184
g01209	1	185
g00825	1	186
g00064	1	187
g00558	1	188
g01369	1	189
g01247	1	190
g00166	1	191
g00402	1	192
g00542	1	193
g01003	1	194
g01186	1	195
g00196	1	196
g00105	1	197
g00443	1	198
g00385	1	199
g01139	1	200
g01252	1	201
g00342	1	202
g00556	1	203
g01032	1	204
g00669	1	205
g01367	1	206
g00918	1	207
g00310	1	208
g01382	1	209
g00919	1	210
g01292	1	211
g00771	1	212
g00962	1	213
g00465	1	214
g00174	1	215
g00472	1	216
g01173	1	217
g00970	1	218
g00557	1	219
g00464	1	220
g00610	1	221
g01078	1	222
g00474	1	223
g00878	1	224
g00236	1	225
g00032	1	226
g01216	1	227
g00770	1	228
g00833	1	229
g00822	1	230
g01215	1	231
g00369	1	232
g00589	1	233
g00412	1	234
g00324	1	235
g00515	1	236
g00585	1	237
g00870	1	238
g00242	1	239
g00858	1	240
g00983	1	241
g01374	1	242
g00863	1	243
g01034	1	244
g00637	1	245
g00413	1	246
g00696	1	247
g01274	1	248
g01246	1	249
g00009	1	250
g01582	1	251
g01097	1	252
g00392	1	253
g01253	1	254
g01506	1	255
g00436	2	1
g00728	2	2
g00125	2	3
g00747	2	4
g00816	2	5
g00171	2	6
g00264	2	7
g00773	2	8
g01275	2	9
g00497	2	10
g00415	2	11
g00062	2	12
g01146	2	13
g00437	2	14
g00375	2	15
g00463	2	16
g01249	2	17
g00396	2	18
g01299	2	19
g01202	2	20
g00854	2	21
g00576	2	22
g00823	2	23
g01123	2	24
g00132	2	25
g00990	2	26
g01058	2	27
g00602	2	28
g01286	2	29
g01319	2	30
g01390	2	31
g00281	2	32
g01006	2	33
g01322	2	34
g01096	2	35
g01155	2	36
g00985	2	37
g01227	2	38
g00088	2	39
g01165	2	40
g00404	2	41
g01386	2	42
g00871	2	43
g00958	2	44
g00184	2	45
g00953	2	46
g00716	2	47
g01184	2	48
g01082	2	49
g00860	2	50
g00706	2	51
g00159	2	52
g01452	2	53
g01377	2	54
g01259	2	55
g01128	2	56
g00986	2	57
g00857	2	58
g00693	2	59
g00200	2	60
g01485	2	61
g00241	2	62
g00506	2	63
g00480	2	64
g01149	2	65
g00611	2	66
g01328	2	67
g00221	2	68
g00840	2	69
g01280	2	70
g01043	2	71
g00194	2	72
g01104	2	73
g00130	2	74
g01042	2	75
g00993	2	76
g00075	2	77
g00642	2	78
g01116	2	79
g00955	2	80
g00754	2	81
g01197	2	82
g00072	2	83
g00312	2	84
g00668	2	85
g00884	2	86
g01072	2	87
g00659	2	88
g00284	2	89
g00423	2	90
g00170	2	91
g01113	2	92
g00597	2	93
g00302	2	94
