accession	reason
ERX1996511	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (62487895 bp) filter, expected > 74407840 bp
ERX1996521	Failed mean read length (57 bp) filter, expected > 75 bp
ERX1996522	Failed mean read length (57 bp) filter, expected > 75 bp
ERX1996512	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (71961825 bp) filter, expected > 74407840 bp
ERX1996513	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (43307505 bp) filter, expected > 74407840 bp
ERX1996514	Failed mean read length (57 bp) filter, expected > 75 bp
ERX1996515	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (42980905 bp) filter, expected > 74407840 bp
ERX1996516	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (52396645 bp) filter, expected > 74407840 bp
ERX1996517	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (12305 bp) filter, expected > 74407840 bp
ERX1996518	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (50890950 bp) filter, expected > 74407840 bp
ERX1996519	Failed mean read length (57 bp) filter, expected > 75 bp
ERX1996508	Failed mean read length (53 bp) filter, expected > 75 bp;Failed base count (69602076 bp) filter, expected > 74407840 bp
ERX1996507	Failed mean read length (53 bp) filter, expected > 75 bp;Failed base count (35117269 bp) filter, expected > 74407840 bp
ERX1996520	Failed mean read length (53 bp) filter, expected > 75 bp;Failed base count (58377795 bp) filter, expected > 74407840 bp
ERX2579080	Failed base count (64445057 bp) filter, expected > 74407840 bp
ERX3291555	Failed base count (34673030 bp) filter, expected > 74407840 bp
ERX3291575	Failed base count (55655637 bp) filter, expected > 74407840 bp
ERX3332126	Failed base count (71642629 bp) filter, expected > 74407840 bp
ERX3332243	Failed base count (64209099 bp) filter, expected > 74407840 bp
ERX3332270	Failed base count (55729569 bp) filter, expected > 74407840 bp
ERX3332532	Failed base count (43789045 bp) filter, expected > 74407840 bp
ERX3332699	Failed base count (36970313 bp) filter, expected > 74407840 bp
ERX3332705	Failed base count (61380867 bp) filter, expected > 74407840 bp
ERX3332756	Failed base count (70908646 bp) filter, expected > 74407840 bp
ERX3332773	Failed base count (57786236 bp) filter, expected > 74407840 bp
ERX3332775	Failed base count (65763232 bp) filter, expected > 74407840 bp
ERX3332776	Failed base count (58396874 bp) filter, expected > 74407840 bp
ERX3332777	Failed base count (65139176 bp) filter, expected > 74407840 bp
ERX3332795	Failed base count (56343284 bp) filter, expected > 74407840 bp
ERX3332797	Failed base count (59204656 bp) filter, expected > 74407840 bp
ERX3448791	Failed base count (2140274 bp) filter, expected > 74407840 bp
ERX660180	Failed mean read length (50 bp) filter, expected > 75 bp
