g01632	g01632	50	25
g01632_00001	g01632	60	25
g01632_00002	g01632	70	25
g01632_00003	g01632	80	25
g01632_00004	g01632	90	25
g01632_00005	g01632	95	25
g01632_00006	g01632	98	25
g01788	g01788	50	25
g01788_00001	g01788	60	25
g01788_00002	g01788	70	25
g01788_00003	g01788	80	25
g01788_00004	g01788	90	25
g01788_00005	g01788	95	25
g01788_00006	g01788	98	25
g01007	g01007	50	49
g01007_00001	g01007	60	49
g01007_00002	g01007	70	49
g01007_00003	g01007	80	49
g01007_00004	g01007	90	49
g01007_00005	g01007	95	49
g01007_00006	g01007	98	49
g00691	g00691	50	49
g00691_00001	g00691	60	49
g00691_00002	g00691	70	49
g00691_00003	g00691	80	49
g00691_00004	g00691	90	49
g00691_00005	g00691	95	49
g00691_00006	g00691	98	49
g00833	g00833	50	49
g00833_00001	g00833	60	49
g00833_00002	g00833	70	49
g00833_00003	g00833	80	49
g00833_00004	g00833	90	49
g00833_00005	g00833	95	49
g00833_00006	g00833	98	49
g01609	g01609	50	12
g01609_00001	g01609	60	12
g01609_00002	g01609	70	12
g01609_00003	g01609	80	12
g01609_00004	g01609	90	11
g01609_00005	g01609	90	1
g01609_00006	g01609	95	11
g01609_00007	g01609	95	1
g01609_00008	g01609	98	11
g01609_00009	g01609	98	1
g01160	g01160	50	49
g01160_00001	g01160	60	49
g01160_00002	g01160	70	49
g01160_00003	g01160	80	49
g01160_00004	g01160	90	49
g01160_00005	g01160	95	49
g01160_00006	g01160	98	49
g00609	g00609	50	49
g00609_00001	g00609	60	49
g00609_00002	g00609	70	49
g00609_00003	g00609	80	49
g00609_00004	g00609	90	49
g00609_00005	g00609	95	49
g00609_00006	g00609	98	49
g01771	g01771	50	26
g01771_00001	g01771	60	26
g01771_00002	g01771	70	26
g01771_00003	g01771	80	26
g01771_00004	g01771	90	26
g01771_00005	g01771	95	26
g01771_00006	g01771	98	26
g01119	g01119	50	49
g01119_00001	g01119	60	49
g01119_00002	g01119	70	49
g01119_00003	g01119	80	49
g01119_00004	g01119	90	49
g01119_00005	g01119	95	49
g01119_00006	g01119	98	49
g00287	g00287	50	49
g00287_00001	g00287	60	49
g00287_00002	g00287	70	49
g00287_00003	g00287	80	49
g00287_00004	g00287	90	49
g00287_00005	g00287	95	49
g00287_00006	g00287	98	49
g00584	g00584	50	49
g00584_00001	g00584	60	49
g00584_00002	g00584	70	49
g00584_00003	g00584	80	49
g00584_00004	g00584	90	49
g00584_00005	g00584	95	49
g00584_00006	g00584	98	49
g00704	g00704	50	49
