block_number	number_isolates	number_clusters_in_block	clusters_in_block	number_upstream_link	number_downstream_links	upstream_blocks	downstream_blocks	upstream_links	downstream_links	description
5	49	49	1	1	g00649,g01034,g01692,g01725,g01683-,g00987-,g00854-,g00821-,g01544-,g00731,g00270,g00686,g00314,g00037,g00535,g00430,g00536,g00119,g00075,g00900-,g00934,g00981,g00145-,g00639-,g00385-,g00088-,g00590-,g00478-,g00372-,g00002-,g00348-,g00532-,g00518,g00229,g00111-,g00235,g00700,g00190,g00921,g01418,g01336,g01434-,g01375-,g01553,g01096,g01201,g01446,g01050,g00776-	60	53	g01436	g01755	insertion
12	49	40	2	2	g00619,g01105-,g00956,g00632-,g00820-,g01270,g00765-,g00985-,g00913,g00026-,g00750-,g00622-,g00729-,g01033-,g01189,g00947,g00832,g00684,g00891,g00713,g01331,g01341,g00449,g01350,g00673,g00790,g00872,g01064,g00004,g00641,g01659,g01416,g01668,g01429-,g01525-,g01719-,g01037-,g01494-,g01519-,g01344	4,194	100,8	g00782,g01753	g01743,g01516	multiconnector
4	49	39	2	2	g00782-,g01072-,g01254-,g00780-,g01001-,g01134-,g00601,g01173-,g01435-,g01397,g00658,g00389-,g00097,g00285,g00370,g00680,g00056,g00272,g01133,g01729,g01735,g00483-,g00630-,g00462,g00218,g00643,g00109,g00447,g01657,g01130,g00728,g00217,g01727,g01638-,g00835,g00721,g01780,g01284,g01291	12,42	101,92	g00619,g01662	g01699,g01626	multiconnector
13	49	36	2	1	g01195,g01492-,g00882,g00600,g00510,g00975-,g01406-,g00309-,g00976-,g00830-,g00843-,g00008-,g00569,g00208,g00625,g01458,g00899,g00247,g00242,g01302,g01138,g01346,g01352,g01116,g01554,g00364-,g00708-,g00172,g01006-,g00915,g00136,g01022-,g01327-,g00758-,g00481-,g00081-	36,8	42	g01250,g01767	g01662	multiconnector
14	49	29	3	1	g00529-,g00650-,g00428-,g01399-,g00038-,g00351-,g00808-,g00546-,g01542-,g01425-,g01161-,g00064-,g00100-,g00566-,g00025-,g00621-,g00434-,g00304-,g00485-,g00450-,g01051-,g00800-,g00375,g01028,g01493,g01512,g01176-,g01314,g00773	175,61,163	54	g01204_3,g01222_1,g01918	g01227_2	multiconnector
25	49	27	1	0	g00777,g01496-,g01343-,g01192-,g01384-,g00834-,g00754-,g00691-,g01403-,g00296,g01455,g00986,g00071,g00058-,g00759-,g00078,g00687,g01032,g00788-,g00199,g00877-,g00779-,g01023,g01308,g00644-,g01316-,g01102-	53		g01755		multiconnector
24	49	24	2	0	g01634,g01508,g01789,g01680-,g01183-,g00213-,g00146-,g00339,g00293,g00696,g01303,g01248,g01313,g00768-,g01748-,g01094-,g00287-,g00183-,g00751-,g00277,g00667,g00149-,g01491,g01044	195,23		g01879,g01238		multiconnector
11	49	23	0	0	g01092,g00825-,g01465-,g00690-,g01155,g01180,g01476,g01301,g01452-,g00626-,g01338-,g01074-,g00400-,g00840,g00964,g00557-,g00015-,g00359-,g00055-,g00674-,g00398,g00525,g00523-					multiconnector
22	49	23	2	2	g01524,g00871,g01143,g01191,g00701,g00795,g01141,g01583,g00602-,g00631-,g01565,g01299-,g01203_1-,g01498-,g01159-,g00606-,g00367-,g01078-,g00952,g00895-,g01109-,g01479-,g01640-	81,111	101,92	g01730,g01896	g01699,g01626	multiconnector
3	49	16	2	1	g01048-,g00321-,g01530-,g01545,g01543,g01884,g00851,g00230,g01573,g01151,g01637-,g01206_1-,g01203_2,g01629,g01276,g01275	23,97	50	g00997,g01916	g01265	multiconnector
26	49	16	0	2	g00512,g00200-,g01154-,g00969,g01061,g01053-,g00806-,g00333-,g00131,g00091,g00761-,g00677-,g00291,g00530-,g00593-,g00742		193,1		g01722,g01057	multiconnector
16	49	14	2	1	g01576-,g01342,g00553,g01054,g01181,g01046,g01027-,g00031,g01396,g01579,g01262,g01409-,g01502-,g00931-	21,115	57	g01411,g01615	g01289	multiconnector
23	49	12	2	1	g00997-,g00847,g00896,g00551-,g01574,g01426,g00585,g00737,g00541-,g01467-,g01400,g01238	48,3	24	g01643,g01048	g01634	multiconnector
21	49	11	2	2	g01478-,g01121,g01354-,g01531,g01602,g00884,g00911-,g01507,g00620,g00988,g01411	50,113	115,16	g01265,g01715	g01672,g01576	multiconnector
28	49	10	2	0	g00052,g00377,g00727,g00799,g00482,g00335,g01380-,g00940-,g00898-,g00831	35,191		g00698,g01744		multiconnector
15	49	9	0	2	g01216,g00093,g00101,g00130-,g00298,g00164,g00599,g00617,g01296-		118,83		g01661,g01658	multiconnector
19	49	9	1	2	g00498,g00134,g00509,g00027-,g00399,g00289-,g00112-,g00307-,g01278_1	59	69,56	g01439_1	g01209_2,g01209_1	multiconnector
34	49	5	0	1	g00597-,g01163-,g01137,g01187,g00472		57		g01289	multiconnector
35	49	5	2	1	g00698,g00655-,g00173-,g01364-,g01360	191,28	46	g01744,g00052	g01642	multiconnector
29	49	4	1	1	g01448,g01281,g01255,g01373-	46	60	g01642	g01436	insertion
36	49	4	2	2	g01461-,g01241,g01268,g01250	99,100	13,8	g01484,g01743	g01195,g01516	multiconnector
39	49	4	2	2	g01540-,g01471-,g01223_1-,g01272_1	66,146	86,73	g01893,g01901	g01878,g01500	multiconnector
31	49	3	2	2	g01587-,g01752-,g01567	131,76	98,78	g01760,g01903	g01811,g01776	multiconnector
30	49	2	2	2	g01548-,g01514	91,86	76,131	g01880,g01878	g01801,g01760	multiconnector
27	49	1	1	1	g01227_1	61	59	g01222_1	g01439_1	insertion
32	49	1	0	0	g01205_2					multiconnector
33	49	1	0	0	g01203_3					multiconnector
37	49	1	0	0	g01204_2					multiconnector
38	49	1	0	0	g01778					multiconnector
40	49	1	0	0	g01232					multiconnector
41	49	1	0	0	g01207					multiconnector
42	49	1	2	2	g01662	4,13	71,103	g00782,g00081	g01605,g01581_1	multiconnector
43	49	1	2	3	g01282	137,70	179,96,47	g01731,g01271	g01419,g01902,g01595	multiconnector
44	49	1	0	0	g01236					multiconnector
45	49	1	2	2	g01816	79,47	85,103	g01205_4,g01595	g01849,g01873	multiconnector
48	48	7	2	2	g01643,g01706,g01379_1,g01647,g01635-,g01655-,g01355	23,23	23,97	g00997,g00541	g00737,g01739	multiconnector
49	48	2	2	2	g01898,g01575	66,157	63,93	g01904,g01368_2	g01857,g01599_2	multiconnector
55	48	2	1	1	g01559,g01580	3	3	g01203_2	g01629	insertion(loop)
46	48	1	1	1	g01642	29	35	g01448	g01360	insertion
47	48	1	3	2	g01595	119,96,43	68,45	g01422,g01902,g01282	g01560,g01816	multiconnector
50	48	1	1	2	g01265	3	113,21	g01275	g01715,g01478	multiconnector
51	48	1	1	3	g01205_1	63	153,65,158	g01857	g01842,g01718,g01287_3	multiconnector
52	48	1	1	1	g01599_1	18	17	g00467	g00014	insertion
53	48	1	1	1	g01755	25	5	g00777	g00776	insertion
54	48	1	1	1	g01227_2	62	14	g01222_2	g00773	insertion
56	48	1	2	2	g01209_1	78,90	95,19	g01613,g01756	g01713,g01278_1	multiconnector
57	48	1	1	1	g01289	34	16	g00472	g00931	insertion
58	48	1	1	1	g01407	9	20	g01501	g00079	insertion
59	48	1	1	1	g01439_1	27	19	g01227_1	g00498	insertion
60	47	1	1	1	g01436	5	29	g00649	g01373	insertion
61	46	1	3	1	g01222_1	163,14,175	27	g01918,g00529,g01204_3	g01227_1	multiconnector
62	45	1	2	1	g01222_2	175,102	54	g01204_3,g01312	g01227_2	multiconnector
63	43	1	2	1	g01857	93,49	51	g01909,g01575	g01205_1	multiconnector
64	41	1	1	1	g01234	1	1	g01098	g01168	insertion(loop)
65	41	1	1	2	g01718	51	89,137	g01205_1	g01771,g01897	multiconnector
66	40	4	1	1	g01893,g01717-,g01693,g01904-	39	49	g01540	g01898	insertion
67	39	1	1	1	g01823	10	10	g00734	g00515	insertion(loop)
68	34	1	2	2	g01560	160,47	159,79	g01859,g01595	g01708,g01205_4	multiconnector
69	34	1	2	2	g01209_2	72,78	19,161	g01742,g01613	g01278_1,g01278_2	multiconnector
70	34	1	3	1	g01271	181,154,74	43	g01415_2,g01919,g01415_1	g01282	multiconnector
71	34	1	2	1	g01605	103,85	42	g01581_1,g01849	g01662	multiconnector
72	33	23	2	1	g01247-,g01653-,g01660-,g01674-,g01790-,g01687-,g01608-,g01810-,g01779-,g01807-,g01762-,g01673-,g01787-,g01770-,g01911-,g01618-,g01747-,g01828-,g01685-,g01728-,g01805-,g01648,g01742	98,156	69	g01757,g01804	g01209_2	multiconnector
73	33	1	2	2	g01500	156,39	157,91	g01272_2,g01272_1	g01763,g01689	multiconnector
74	33	1	2	2	g01415_1	89,153	154,70	g01287_1,g01287_2	g01919,g01271	multiconnector
75	31	1	0	0	g01889					multiconnector
76	30	4	1	1	g01801,g01368_1,g01205_3,g01903	30	31	g01514	g01587	insertion
78	26	23	1	2	g01776-,g01622,g01641,g01624,g01824,g01830,g01754,g01792,g01480,g01283-,g01877-,g01799,g01838,g01862,g01292,g01568,g01908,g01611-,g01759,g01734,g01721,g01720,g01613	31	69,56	g01567	g01209_2,g01209_1	multiconnector
80	26	9	1	1	g01714,g01690-,g01663-,g01736-,g01711-,g01688-,g01645,g01812,g01773	10	10	g01563	g01393	insertion(loop)
81	26	7	1	1	g01730,g01850,g01644,g01669,g01694,g01817,g01866	22	10	g01524	g00511	insertion
82	26	5	1	1	g01833,g01860,g01852,g01797,g01910	7	7	g00730	g00998	insertion(loop)
84	26	3	1	1	g01676,g01623,g01675	35	35	g00655	g00698	insertion(loop)
77	26	2	1	1	g01851-,g01794	6	6	g00819	g01371	insertion(loop)
88	26	2	1	1	g01841-,g01836	24	24	g01313	g00768	insertion(loop)
89	26	2	1	2	g01771,g01287_1	65	74,181	g01718	g01415_1,g01415_2	multiconnector
79	26	1	1	1	g01205_4	68	45	g01560	g01816	insertion
83	26	1	1	1	g01658	2	15	g01305	g01296	insertion
85	26	1	1	1	g01849	45	71	g01816	g01605	insertion
86	26	1	1	1	g01878	39	30	g01272_1	g01548	insertion
87	26	1	1	1	g01883	1	1	g01463	g00860	insertion(loop)
90	25	37	2	1	g01681,g01839,g01872,g01888,g01867,g01788,g01791,g01895-,g01861-,g01764-,g01802-,g01899-,g01845-,g01855-,g01619-,g01829-,g01758-,g01796,g01677-,g01632-,g01695,g01682,g01701,g01781,g01769,g01723,g01907,g01671,g01782,g01864,g01750,g01820,g01835,g01620,g01818,g01667,g01756	28,2	56	g00052,g00887	g01209_1	multiconnector
97	25	5	1	1	g01739-,g01696-,g01625-,g01621,g01916-	48	3	g01355	g01048	insertion
95	25	3	1	2	g01713-,g01738,g01639	56	2,28	g01209_1	g01052,g00377	multiconnector
98	25	3	1	1	g01757,g01856-,g01811	72	31	g01247	g01567	insertion
91	25	2	1	1	g01689-,g01880	73	30	g01500	g01548	insertion
93	25	2	2	1	g01599_2,g01909	146,49	63	g01905,g01575	g01857	multiconnector
99	25	2	1	2	g01484,g01814-	36	8,128	g01461	g01767,g01858	multiconnector
92	25	1	1	1	g01626	4	22	g01291	g01640	insertion
94	25	1	1	1	g01834	9	1	g01298	g01707	insertion
96	25	1	1	1	g01902	47	43	g01595	g01282	insertion
100	25	1	1	1	g01743	12	36	g01344	g01461	insertion
101	25	1	1	1	g01699	4	22	g01291	g01640	insertion
102	25	1	1	1	g01312	17	62	g00749	g01222_2	insertion
103	24	2	1	2	g01873-,g01581_1	45	42,71	g01816	g01662,g01605	multiconnector
104	24	1	2	1	g01853	194,19	19	g01753,g00307	g01278_1	multiconnector
105	23	6	2	2	g01266-,g01225,g01219,g01386,g01245,g01230	130,186	143,150	g01260,g01912	g01609,g01716	multiconnector
106	23	6	2	3	g01546,g01213,g01813,g01280-,g01451-,g01226	150,143	164,166,149	g01614,g01609	g01827,g01826,g01815	multiconnector
107	23	5	1	1	g01733-,g01686-,g01378-,g01656-,g01702	10	10	g01153	g00979	insertion(loop)
111	23	5	1	1	g01664,g01633,g01761-,g01837-,g01896-	10	22	g00511	g01524	insertion
114	23	3	1	1	g01222_3-,g01227_3,g01439_2	14	14	g00773	g01314	insertion(loop)
116	23	3	2	2	g01235-,g01304,g01228	183,129	186,130	g01819,g01285	g01678,g01260	multiconnector
109	23	2	1	1	g01665-,g01670	13	13	g01352	g01346	insertion(loop)
115	23	2	1	1	g01672-,g01615	21	16	g01411	g01576	insertion
118	23	2	1	1	g01646,g01661	2	15	g01305	g01296	insertion
120	23	2	2	3	g01391,g01233	136,165	164,166,127	g01600,g01598	g01887,g01603,g01288	multiconnector
124	23	2	2	2	g01495,g01220-	135,167	147,141	g01604,g01831	g01863,g01606	multiconnector
108	23	1	3	2	g01229	177,171,145	183,129	g01846,g01840,g01569	g01819,g01285	multiconnector
110	23	1	1	1	g01875	6	6	g01473	g01158	insertion(loop)
112	23	1	1	1	g01765	4	4	g00097	g00389	insertion(loop)
113	23	1	1	1	g01715	50	21	g01265	g01478	insertion
117	23	1	1	1	g01803	10	7	g01099	g00730	insertion
119	23	1	2	2	g01422	179,158	47,160	g01419,g01917	g01595,g01859	multiconnector
121	23	1	1	1	g01913	29	29	g01281	g01255	insertion(loop)
122	23	1	1	1	g01868	17	17	g01335	g00616	insertion(loop)
123	23	1	1	1	g01886	6	6	g01043	g00927	insertion(loop)
125	23	1	2	2	g01231	142,148	141,147	g01510,g01745	g01532,g01785	multiconnector
126	23	1	1	1	g01206_2	16	16	g01396	g00031	insertion(loop)
127	23	1	2	2	g01288	120,140	148,142	g01233,g01273	g01821,g01510	multiconnector
128	23	1	1	1	g01858	8	99	g01767	g01814	insertion
129	22	1	1	1	g01285	108	116	g01229	g01235	insertion
130	22	1	1	1	g01260	116	105	g01228	g01266	insertion
131	21	1	1	1	g01760	30	31	g01514	g01587	insertion
132	21	1	0	0	g01666					multiconnector
133	18	1	1	1	g01290	18	18	g01194	g01328	insertion(loop)
134	17	2	1	1	g01242,g01279-	106	106	g01546	g01213	insertion(loop)
135	17	2	1	2	g01604,g01527	124	169,149	g01495	g01876,g01890	multiconnector
136	17	1	1	2	g01600	120	171,145	g01391	g01840,g01569	multiconnector
137	15	5	1	1	g01897-,g01906-,g01914-,g01766-,g01731	65	43	g01718	g01282	insertion
138	15	1	1	1	g01751	78	78	g01908	g01611	insertion(loop)
139	14	1	1	1	g01869	20	20	g01129	g00404	insertion(loop)
141	12	3	1	1	g01532-,g01572,g01606	125	124	g01231	g01220	insertion
140	12	1	1	1	g01273	120	127	g01391	g01288	insertion
142	12	1	1	1	g01510	127	125	g01288	g01231	insertion
143	12	1	1	1	g01609	105	106	g01230	g01546	insertion
144	12	1	1	1	g01610	78	78	g01480	g01283	insertion(loop)
145	12	1	2	1	g01569	136,165	108	g01600,g01598	g01229	multiconnector
146	11	4	1	1	g01901,g01732-,g01631,g01905-	39	93	g01540	g01599_2	insertion
147	11	2	1	1	g01785-,g01863	125	124	g01231	g01220	insertion
148	11	2	1	1	g01821-,g01745	127	125	g01288	g01231	insertion
149	11	2	1	1	g01890,g01815-	135	106	g01527	g01226	insertion
150	11	2	1	1	g01716-,g01614	105	106	g01230	g01546	insertion
151	10	2	1	1	g01843-,g01870	135	135	g01527	g01604	insertion(loop)
152	10	1	2	2	g01536	162,178	169,174	g01808,g01865	g01876,g01593	multiconnector
153	9	2	1	1	g01842,g01287_2	51	74	g01205_1	g01415_1	insertion
154	9	1	1	1	g01919	74	70	g01415_1	g01271	insertion
155	9	1	1	1	g01206_3	3	3	g01203_2	g01206_1	insertion(loop)
156	8	12	1	1	g01272_2,g01223_2,g01871,g01783,g01892,g01712-,g01822-,g01795-,g01798-,g01651,g01881-,g01804	73	72	g01500	g01247	insertion
158	8	7	1	1	g01287_3,g01691,g01710,g01741,g01915,g01784,g01917	51	119	g01205_1	g01422	insertion
157	8	6	1	1	g01763-,g01786,g01746-,g01806,g01705,g01368_2	73	49	g01500	g01898	insertion
159	8	4	1	1	g01708,g01772,g01581_2,g01679	68	9	g01560	g00971	insertion
160	8	1	1	1	g01859	119	68	g01422	g01560	insertion
161	8	1	1	1	g01278_2	69	9	g01209_2	g00446	insertion
162	7	1	2	2	g01808	170,172	152,189	g01847,g01900	g01536,g01854	multiconnector
163	7	1	1	1	g01918	61	14	g01222_1	g00529	insertion
164	6	2	1	1	g01887,g01827-	120	106	g01233	g01226	insertion
166	6	2	1	1	g01826,g01603-	106	120	g01226	g01233	insertion
165	6	1	1	2	g01598	120	145,177	g01391	g01569,g01846	multiconnector
167	6	1	2	1	g01831	173,176	124	g01894,g01844	g01495	multiconnector
168	6	1	1	2	g01607	120	172,170	g01233	g01891,g01847	multiconnector
169	6	1	1	1	g01876	152	135	g01536	g01527	insertion
