block_number	number_isolates	number_clusters_in_block	clusters_in_block	number_upstream_link	number_downstream_links	upstream_blocks	downstream_blocks	upstream_links	downstream_links	description
170	6	1	1	2	g01847	162	120,168	g01808	g01233,g01607	multiconnector
171	6	1	1	1	g01840	136	108	g01600	g01229	insertion
172	5	3	2	2	g01891,g01900,g01597	120,168	173,178	g01233,g01607	g01894,g01865	multiconnector
173	5	1	2	2	g01894	172,174	176,167	g01597,g01593	g01844,g01831	multiconnector
174	5	1	2	1	g01593	152,176	173	g01536,g01844	g01894	multiconnector
175	4	1	1	2	g01204_3	14	61,62	g00529	g01222_1,g01222_2	multiconnector
176	4	1	2	2	g01844	189,173	174,167	g01854,g01894	g01593,g01831	multiconnector
177	4	1	1	1	g01846	165	108	g01598	g01229	insertion
178	4	1	1	1	g01865	172	152	g01597	g01536	insertion
179	3	1	1	1	g01419	43	119	g01282	g01422	insertion
180	2	1	1	1	g01825	18	6	g00967	g00993	insertion
181	2	1	1	1	g01415_2	89	70	g01287_1	g01271	insertion
182	2	1	1	1	g01885	78	78	g01622	g01641	insertion(loop)
186	1	2	1	1	g01678,g01912	116	105	g01228	g01266	insertion
187	1	2	1	1	g01775-,g01832	120	172	g01233	g01597	insertion
183	1	1	1	1	g01819	108	116	g01229	g01235	insertion
184	1	1	0	1	g01700		8		g01319	multiconnector
185	1	1	1	1	g01697	26	26	g00091	g00761	insertion(loop)
188	1	1	0	0	g01874					multiconnector
189	1	1	1	1	g01854	162	176	g01808	g01844	insertion
190	1	1	0	0	g01809					multiconnector
191	1	1	1	1	g01744	28	35	g00052	g00698	insertion
192	1	1	1	1	g01379_2	23	23	g00737	g00541	insertion(loop)
193	1	1	1	1	g01722	26	1	g00742	g01057	insertion
194	1	1	1	1	g01753	12	104	g00619	g01853	insertion
195	1	1	0	1	g01879		24		g01634	multiconnector
196	1	1	0	0	g01206_4					multiconnector
